гымнин ытльат ы’ттъуви ынкъам о’мрытваал	г ы м н и н ы т ь а т _ ы ’ т т ъ _ у в и ы н к ъ а м _ о ’ м р ы т в а а _
пууръу эпы гымнин о’м о’мрыквот нэмыӄэй ӄорагынрэтыльо нитӄин	п у у р ъ у э п ы г ы м н и н _ о ’ м _ о ’ м р ы к в _ о т _ н э м ы ӄ э й _ ӄ о р а г ы н р э т ы _ ь о _ н и т ӄ и н
гымнин ытлыгыт ытль’атэ ӄонпы эмнуӈкы нымигчирэтӄинэт нэмыӄэй ӄорагынрэтыльо нитӄинэт	г ы м н и н ы т ы г ы т ы т _ ь _ ’ а т _ э ӄ о н п ы э м н у ӈ к ы н ы м и г ч и р э т ӄ и н э т н э м ы ӄ э й _ ӄ о р _ а г ы н _ р э т ы _ ь о _ н и т ӄ и н э т
ынкъам мури гачакэттомга гэ гэегтэльмури каврагыргын ынкъам гым	ы н к ъ а м м у р и г а ч а к э т _ т о м г а _ г э _ г э е г т э _ ь _ м у р и к а в р а г ы р г ы н ы н к ъ а м г ы м _
ытръэче ӈирэӄ нэнэнэт вагъэт	ы т р ъ э ч е ӈ и р э ӄ н э н э н э т _ в а г ъ э т _
ытръэч	ы т р ъ э ч
кытур ынӈытэӄэ мэдвэдэв прэзидэнто энма канчалянэты гэрэмкичильин	к ы т у р ы н ӈ ы т э ӄ э _ м э _ д в э д _ э в п р э з и д _ э н т о э н м а к а н ч _ а я н э т ы _ г э р э м к и ч и ь _ и н
ынкъа люут ӈыръа вэрталёттэ вакъогъатӈа	ы н к ъ а ю у т _ ӈ ы р ъ а _ в э р т а _ ё т т э в а к ъ о г ъ а т _ ӈ а
ныныпчеӈивйивӄин колё нымныма мэдвэдэвъым	н ы н ы п ч е ӈ и в _ й и в ӄ и н к о ё н ы м н ы м а _ м э д _ в э д _ э в ъ ы м
гэчевкы нынтыӄин таӈколё ынкы ныгынритӄин	г э ч е в к ы н ы н т ы ӄ и н т а ӈ к о _ ё _ ы н к ы _ н ы г ы н р и т ӄ и н _
люутэ абрамович ӈыронвэрталёта вакъогъэ нэмыӄэй	ю у т э а б _ р а м о в и ч _ ӈ ы р о н в э р т а ё т а _ в а к ъ о г ъ э н э м ы ӄ э й
мэдвэдэв ивкэ лыгэн ынкы напэлягъан йъэлыги абрамович наягнагъан	м э д в э д _ э в и в к э ы г э н ы н к ы _ н а п _ э я _ г ъ а н _ й ъ э ы г и а _ б р а м о в и ч _ н а я г н а г ъ а н
инъэ гым нылӄутигым	и н ъ э г ы м н ы ӄ у т _ и г ы м _
янот нычайойгым	я н о т н ы ч а й о й г ы м _
нилгытэвигым ынкъам нывийгым нытапэтӈивым	н и г ы т э в и г ы м ы н к ъ а м _ н ы в и й г ы м н ы т а п _ э т _ ӈ и в ы м _
ванэ мычавтракгъак	в а н э м ы ч а в т _ р а к _ г ъ а к
апэтыплыткокэ	а п э т ы п ы т к о к _ э
игытъым ванэ гым м мымигчирэтгъэк	и г ы т ъ ы м в а н э г ы м _ м м ы м _ и г ч и р _ э т г ъ э к _
ныпэнчияйгым	н ы п э н ч и я й г ы м _
апэтыплыткокэ нотагты нылӄытивым элек	а п э т ы п ы т к о к _ э н о т а г т ы н ы ӄ ы т и в _ ы м _ э е к
нуунъыгичийгым чама ныпъоӈгэлейгым	н у у н ъ ы г и ч и й г ы м ч а м а _ н ы п ъ о ӈ _ г э _ е й г ы м
нырагтэгым	н ы р а г т э г ы м
уунъытэ	у у н ъ ы т э
